uri_artista|nombre|fechaCreacion|descripcion
http://jorgepedia.org/resource/Thrash or Die|null|null|null
http://jorgepedia.org/resource/Blowfuse|null|null|null
http://jorgepedia.org/resource/Blowfuse|null|null|null
http://dbpedia.org/resource/Satanic_Surfers|Satanic Surfers|1989|Satanic Surfers fue una banda punk rock sueca.
http://dbpedia.org/resource/Satanic_Surfers|Satanic Surfers|1989|Satanic Surfers fue una banda punk rock sueca.
http://jorgepedia.org/resource/Elvis Costello|null|null|null
http://jorgepedia.org/resource/Elvis Costello|null|null|null
http://dbpedia.org/resource/Animal_Collective|Animal Collective|1999|Animal Collective es una banda de música experimental psicodélica formada en 1999 en Baltimore, Maryland. Sus integrantes son los multiinstrumentistas Avey Tare (David Portner), Panda Bear (Noah Lennox), Deakin (Josh Dibb), y Geologist (Brian Weitz).
http://dbpedia.org/resource/Drive_Like_Jehu|Drive Like Jehu|1990|Drive Like Jehu es una banda de post-hardcore originaria de San Diego (California) y formada en 1990 por Rick Froberg, John Reis, Mike Kennedy y Mark Trombino. Se desintegró en 1995 tras lanzar dos álbumes de estudio. Su música combinaba elementos del punk rock con guitarras rítmicas resultando una música descrita en ocasiones como noise rock, math rock o sludge rock[cita requerida].
http://jorgepedia.org/resource/U.S. Girls|null|null|null
http://jorgepedia.org/resource/Night Demon|null|null|null
http://jorgepedia.org/resource/Uli Jon Roth|null|null|null
http://jorgepedia.org/resource/Somas Cure|null|null|null
http://dbpedia.org/resource/Praying_Mantis_(band)|Praying Mantis|1974|Praying Mantis es una banda inglesa de hard rock formada en 1974, quienes fueron parte de la escena NWOBHM a fines de los años 70, y principios de los 80.
http://jorgepedia.org/resource/Zakk Wylde|null|null|null
http://jorgepedia.org/resource/Walking With Wolves|null|null|null
http://dbpedia.org/resource/Os_Mutantes|Os Mutantes|1966|"Os Mutantes (que en portugués significa ""Los Mutantes"") es una banda brasileña formada en 1966 por Rita Lee (en voz), Sérgio Dias (guitarra y voces) y Arnaldo Baptista (en el bajo, teclado y voces) y Ronaldo Leme, ""Dinho"" en batería.Aunque durante sus años de actividad fueron poco conocidos fuera de su país, Os Mutantes fueron uno de los grupos más dinámicos, talentosos y radicales de la época psicodélica."
http://jorgepedia.org/resource/Jared James Nichols|null|null|null
http://dbpedia.org/resource/Converge_(band)|Converge|1990|Converge es un grupo de mathcore de Boston. Fue formada en 1990 por el vocalista Jacob Bannon, el guitarrista Kurt Ballou, el bajista Jeff Feinburg y el batería Damon Bellorado. En la actualidad continúan Jacob Bannon y Kurt Ballou y toca la batería Ben Koller y el bajo Nate Newton. Es uno de los grupos más prolíficos y que más influencia ha ejercido en la historia reciente del hardcore. Su sonido es un llamativa y original mezcla de elementos del hardcore punk con los de metal extremo.
http://dbpedia.org/resource/Goldfinger_(band)|Goldfinger|1994|Goldfinger es una banda de música Punk Rock y Ska Punk formada en Los Ángeles, California, en 1994.
http://jorgepedia.org/resource/Föllakzoid|null|null|null
http://jorgepedia.org/resource/Mohama Saz|null|null|null
